Term ID,Term Permalink,Term Name,Term Slug,Description,Parent ID,Parent Name,Parent Slug,Count,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Image Filename,Image Path,Image ID,order,product_pa_color-selector
3511,https://luxbaz.com/?taxonomy=pa_color-selector&term=%da%a9%d8%a7%d8%b1%d8%a7%d9%85%d9%84%db%8c,کاراملی,%da%a9%d8%a7%d8%b1%d8%a7%d9%85%d9%84%db%8c,,0,,,20,,,,,,,,,,0,#C19A6B
3512,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%da%a9%d9%86%d9%81%db%8c,مشکی کنفی,%d9%85%d8%b4%da%a9%db%8c-%da%a9%d9%86%d9%81%db%8c,,0,,,3,,,,,,,,,,0,#000000
3513,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b3%d9%81%db%8c%d8%af-%da%a9%d9%86%d9%81%db%8c,سفید کنفی,%d8%b3%d9%81%db%8c%d8%af-%da%a9%d9%86%d9%81%db%8c,,0,,,1,https://luxbaz.com/wp-content/uploads/2023/03/In-Story.cover-organaizer-1675168621.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story-m-1675688189.jpeg,In-Story.cover-organaizer-1675168621|In-Story-m-1675688189,|,|,|,,In-Story.cover-organaizer-1675168621.jpeg|In-Story-m-1675688189.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story.cover-organaizer-1675168621.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-m-1675688189.jpeg,3514|3515,0,#FFFFFF
3514,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%da%a9%d9%86%d9%81%db%8c,نسکافه ای کنفی,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%da%a9%d9%86%d9%81%db%8c,,0,,,3,,,,,,,,,,0,#6F4E37
3515,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86-%d8%b7%d8%b1%d8%ad-7,طوسی روشن طرح 7,%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86-%d8%b7%d8%b1%d8%ad-7,,0,,,1,,,,,,,,,,0,#C0C0C0
3516,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-4,نسکافه ای طرح 4,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-4,,0,,,1,https://luxbaz.com/wp-content/uploads/2023/03/In-Story-cover-1675168309.jpeg|https://luxbaz.com/wp-content/uploads/2023/03/In-Story.Mob-1677588679.jpeg,In-Story-cover-1675168309|In-Story.Mob-1677588679,|,|,|,,In-Story-cover-1675168309.jpeg|In-Story.Mob-1677588679.jpeg,/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story-cover-1675168309.jpeg|/home/luxbazco/public_html/wp-content/uploads/2023/03/In-Story.Mob-1677588679.jpeg,3518|3519,0,#6F4E37
3517,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-1,نسکافه ای طرح 1,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-1,,0,,,2,,,,,,,,,,0,#6F4E37
3518,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-2,نسکافه ای طرح 2,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-2,,0,,,2,,,,,,,,,,0,#6F4E37
3519,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86-%d8%b7%d8%b1%d8%ad-9,طوسی روشن طرح 9,%d8%b7%d9%88%d8%b3%db%8c-%d8%b1%d9%88%d8%b4%d9%86-%d8%b7%d8%b1%d8%ad-9,,0,,,1,,,,,,,,,,0,#C0C0C0
3520,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-3,نسکافه ای طرح 3,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-3,,0,,,1,,,,,,,,,,0,#6F4E37
3521,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-6,نسکافه ای طرح 6,%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c-%d8%b7%d8%b1%d8%ad-6,,0,,,1,,,,,,,,,,0,#6F4E37
3522,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c,مشکی نسکافه ای,%d9%85%d8%b4%da%a9%db%8c-%d9%86%d8%b3%da%a9%d8%a7%d9%81%d9%87-%d8%a7%db%8c,,0,,,2,,,,,,,,,,0,#000000
3523,https://luxbaz.com/?taxonomy=pa_color-selector&term=%da%a9%d8%b1%d9%85,کرم,%da%a9%d8%b1%d9%85,,0,,,34,,,,,,,,,,0,#FFFDD0
3524,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%be%d8%a7%d8%b1%da%86%d9%87-%d8%a7%db%8c,مشکی پارچه ای,%d9%85%d8%b4%da%a9%db%8c-%d9%be%d8%a7%d8%b1%da%86%d9%87-%d8%a7%db%8c,,0,,,3,,,,,,,,,,0,#000000
3525,https://luxbaz.com/?taxonomy=pa_color-selector&term=%d9%85%d8%b4%da%a9%db%8c-%d9%be%d9%88%d8%b3%d8%aa-%d9%85%d8%a7%d8%b1%db%8c,مشکی پوست ماری,%d9%85%d8%b4%da%a9%db%8c-%d9%be%d9%88%d8%b3%d8%aa-%d9%85%d8%a7%d8%b1%db%8c,,0,,,0,,,,,,,,,,0,#000000
